qs_rank_2027,rank_display,name,name_en,country,city,website_url,qs_url,aliases,us_news_rank,the_rank,strong_subjects,popular_programs,school_type,student_faculty_ratio,international_student_ratio,estimated_annual_cost
1,1,Massachusetts Institute of Technology,Massachusetts Institute of Technology,United States,Cambridge,https://web.mit.edu,https://www.topuniversities.com/world-university-rankings,MIT,2,2,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Private,7.7:1,33%,US$80k-100k/yr
2,2,Imperial College London,Imperial College London,United Kingdom,London,https://www.imperial.ac.uk,https://www.topuniversities.com/world-university-rankings,ICL,11,8,Engineering; Computing; Medicine,MS Engineering; MSc Computing; Public Health/Biomedical Sciences,Public,12.1:1,60%,US$55k-75k/yr
2,2,Stanford University,Stanford University,United States,Stanford,https://www.stanford.edu,https://www.topuniversities.com/world-university-rankings,,3,5,Computer Science; Engineering; Business,MS Computer Science; MS Engineering; MBA/Management,Private,5.9:1,25%,US$80k-100k/yr
4,4,University of Oxford,University of Oxford,United Kingdom,Oxford,https://www.ox.ac.uk,https://www.topuniversities.com/world-university-rankings,,4,1,Humanities; Medicine; Social Sciences,Humanities; Public Health/Biomedical Sciences; Public Policy/Economics,Public,10.4:1,43%,US$45k-65k/yr
5,5,Harvard University,Harvard University,United States,Cambridge,https://www.harvard.edu,https://www.topuniversities.com/world-university-rankings,,1,5,Business; Law; Medicine,MBA/Management; LLM; Public Health/Biomedical Sciences,Private,10.1:1,27%,US$80k-100k/yr
6,6,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,https://www.cam.ac.uk,https://www.topuniversities.com/world-university-rankings,,5,3,Engineering; Natural Sciences; Humanities,MS Engineering; Natural Sciences; Humanities,Public,11.3:1,38%,US$45k-65k/yr
7,7,California Institute of Technology,California Institute of Technology,United States,Pasadena,https://www.caltech.edu,https://www.topuniversities.com/world-university-rankings,Caltech,23,7,Physical Sciences; Engineering; Computer Science,Physics/Math; MS Engineering; MS Computer Science,Private,6.7:1,33%,US$80k-100k/yr
8,8,Swiss Federal Institute of Technology Zurich,Swiss Federal Institute of Technology Zurich,Switzerland,Zurich,https://ethz.ch,https://www.topuniversities.com/world-university-rankings,ETH,35,11,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,15.5:1,44%,US$30k-55k/yr
8,8,University College London,University College London,United Kingdom,London,http://www.ucl.ac.uk,https://www.topuniversities.com/world-university-rankings,UCL,7,22,Medicine; Architecture; Social Sciences,Public Health/Biomedical Sciences; Architecture/Urban Planning; Public Policy/Economics,Public,12.1:1,63%,US$55k-75k/yr
10,10,National University of Singapore,National University of Singapore,Singapore,Singapore,http://www.nus.edu.sg,https://www.topuniversities.com/world-university-rankings,NUS,20,17,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,21.0:1,31%,US$35k-55k/yr
11,11,The University of Hong Kong,The University of Hong Kong,Hong Kong,Hong Kong,https://www.hkust-gz.edu.cn,https://www.topuniversities.com/world-university-rankings,HKU,44,33,Medicine; Law; Business,Public Health/Biomedical Sciences; LLM; MBA/Management,Public,17.8:1,48%,US$30k-50k/yr
12,12,"Nanyang Technological University, Singapore","Nanyang Technological University, Singapore",Singapore,Singapore,https://www.ntu.edu.sg,https://www.topuniversities.com/world-university-rankings,NTU,28,31,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,17.3:1,31%,US$35k-55k/yr
13,13,Peking University,Peking University,China,Beijing,https://www.pku.edu.cn,https://www.topuniversities.com/world-university-rankings,PKU,25,13,Social Sciences; Medicine; Natural Sciences,Public Policy/Economics; Public Health/Biomedical Sciences; Natural Sciences,Public,11.3:1,15%,US$12k-30k/yr
14,14,Tsinghua University,Tsinghua University,China,Beijing,https://www.tsinghua.edu.cn,https://www.topuniversities.com/world-university-rankings,THU,11,12,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,10.8:1,11%,US$12k-30k/yr
